Date,Open,High,Low,Close,Volume,Adj Close
2008-04-09,3130.42,3143.14,3085.27,3089.72,000,3089.72
2008-04-08,3181.92,3181.92,3123.68,3130.42,000,3130.42
2008-04-07,3155.56,3181.92,3125.70,3181.92,000,3181.92
2008-04-04,3171.55,3175.10,3147.86,3155.56,000,3155.56
2008-04-03,3124.61,3175.83,3120.17,3171.55,000,3171.55
2008-04-02,3046.54,3130.37,3046.54,3124.61,000,3124.61
2008-04-01,3007.36,3046.54,2994.84,3046.54,000,3046.54
2008-03-31,3031.90,3058.93,2994.14,3007.36,000,3007.36
2008-03-28,3006.27,3056.57,3004.99,3031.90,000,3031.90
2008-03-27,2968.67,3025.20,2959.64,3025.20,000,3025.20
2008-03-26,2994.25,3006.12,2980.26,2995.22,000,2995.22
2008-03-25,2958.90,3023.50,2956.50,3000.19,000,3000.19
2008-03-24,2824.91,2927.79,2824.91,2927.79,000,2927.79
2008-03-20,2794.68,2832.00,2772.91,2824.91,000,2824.91
2008-03-19,2904.64,2915.16,2830.35,2833.21,000,2833.21
2008-03-18,2806.80,2837.31,2765.41,2833.58,000,2833.58
2008-03-17,2839.01,2839.01,2745.96,2792.75,000,2792.75
2008-03-14,2846.94,2852.85,2799.84,2839.01,000,2839.01
2008-03-13,2892.76,2900.92,2805.55,2805.55,000,2805.55
2008-03-12,2964.32,2976.09,2907.80,2917.94,000,2917.94
2008-03-11,2803.19,2871.60,2794.63,2860.85,000,2860.85
2008-03-10,2866.28,2866.28,2796.49,2836.59,000,2836.59
2008-03-07,2865.05,2875.56,2848.48,2866.28,000,2866.28
2008-03-06,2935.87,2951.50,2917.92,2917.92,000,2917.92
2008-03-05,2929.43,2929.43,2898.64,2910.77,000,2910.77
2008-03-04,2921.69,2939.20,2900.26,2919.68,000,2919.68
2008-03-03,3026.45,3026.45,2922.46,2926.55,000,2926.55
2008-02-29,3070.96,3070.96,3003.07,3026.45,000,3026.45
2008-02-28,3086.96,3096.00,3056.99,3074.15,000,3074.15
2008-02-27,3110.48,3129.27,3094.45,3094.45,000,3094.45
2008-02-26,3099.24,3102.97,3061.07,3077.83,000,3077.83
2008-02-25,3048.64,3085.16,3048.64,3064.95,000,3064.95
2008-02-22,3025.84,3048.64,3013.82,3048.64,000,3048.64
2008-02-21,3066.51,3073.37,3045.88,3054.81,000,3054.81
